url,comment,date,name,readers
https://censor.net/ua/video_news/3260912/proyekt_bez_tsenzury_koli_mojna_vse_chomu_zelenskyyi_povynen_pokaraty_slugu_narodu_tyschenka_video,"""Мастер и Маргарита"" перечитайте у нас бал сатаны разгул нечести......",20.04.2021,Dima qwe,"{""reading_me"": ""4"", ""i_am_reading"": 0}"
https://censor.net/ua/video_news/3260912/proyekt_bez_tsenzury_koli_mojna_vse_chomu_zelenskyyi_povynen_pokaraty_slugu_narodu_tyschenka_video,"Точно. особенно эпизод в театре. Когда шмотки и деньги ""на шару"" раздавали  Потом лохи голыми и босыми оказались  ",20.04.2021,Frol Fedoroff,"{""reading_me"": ""83"", ""i_am_reading"": ""69""}"
https://censor.net/ua/video_news/3260912/proyekt_bez_tsenzury_koli_mojna_vse_chomu_zelenskyyi_povynen_pokaraty_slugu_narodu_tyschenka_video,"Наказать это второе. И при чем Зеленский? Что закон на колю не распространяется? И почему на это не было реакции своевременной, ведь даже салюты были, где была полиция тогда??? А во первых, депутатам нарушаюшим закон нечего делать в Раде от слова совсем, тоже касается и депутатского мандата. Вещи не совместимые. Хотя у нас зек был президентом даже , о чем это я....",20.04.2021,А А d72c3f17,"{""reading_me"": 0, ""i_am_reading"": 0}"
https://censor.net/ua/video_news/3260912/proyekt_bez_tsenzury_koli_mojna_vse_chomu_zelenskyyi_povynen_pokaraty_slugu_narodu_tyschenka_video,У Коли Котлеты есть очень сильный компромат на Зе и его шоблу. Да и вообще они подельники по разворовыванию Украины.,20.04.2021,Женя Калаш,"{""reading_me"": 0, ""i_am_reading"": 0}"
https://censor.net/ua/video_news/3260912/proyekt_bez_tsenzury_koli_mojna_vse_chomu_zelenskyyi_povynen_pokaraty_slugu_narodu_tyschenka_video,КОЛЯ-ДОЛБОДЯТЕЛ,20.04.2021,арлекино пианист,"{""reading_me"": 0, ""i_am_reading"": 0}"
https://censor.net/ua/video_news/3260912/proyekt_bez_tsenzury_koli_mojna_vse_chomu_zelenskyyi_povynen_pokaraty_slugu_narodu_tyschenka_video,"... Центру ""СОЦИС"" (SOCIS) на тему ""Два роки президентства Володимира Зеленського. Як народ оцінює владу?"".  У результаті 57,1% респондентів назвали її непрофесійною і дилетантською. Ще 16,3% опитаних вважають її популістською. Компетентною владу президента Зеленського назвали лише 12,1% опитаних. А 14,6% не змогли відповісти на це запитання. Також з'ясувалося, що в ставленні українців до влади домінують негативні емоції. Зокрема розчарування відчувають 44,8% респондентів, тривогу і страх - 22,1%, ненависть - 5,8%. Надію зберігають 25,7% опитаних, симпатію - лише 4,1%. І тільки півтора відсотки відчувають гордість. Загалом негативні емоції щодо нинішньої влади відчувають 72,6% опитаних, а позитивні - 31,3%.     ",20.04.2021,Наталия Гончар,"{""reading_me"": 0, ""i_am_reading"": 0}"
https://censor.net/ua/video_news/3260912/proyekt_bez_tsenzury_koli_mojna_vse_chomu_zelenskyyi_povynen_pokaraty_slugu_narodu_tyschenka_video,"""Слуга"" Тищенко провів бенкет у Києві, плюючи на карантин. Інічого йому не буде, бо... https://www.youtube.com/watch?v=tcjWBPp_JUU",20.04.2021,Чайка Київ,"{""reading_me"": ""62"", ""i_am_reading"": ""3""}"
https://censor.net/ua/video_news/3260912/proyekt_bez_tsenzury_koli_mojna_vse_chomu_zelenskyyi_povynen_pokaraty_slugu_narodu_tyschenka_video,"Вот поэтому, и не только, не видать УКРАИНЕ членства в Евросоюзе и еще очень долго.Пока во власть будет избираться вот такое БЫДЛО,которое и сумело только наворовать чтобы влезть за счет этого во власть и только там оставаться безнаказанным.По всем цивилизованным правилам эта СКОТИНА тИЩЕНКО должен тут же САМ уйти в отставку.По ЦИВИЛИЗОВАННЫМ, не по УКРАИНСКИМ !!!!!!!!! И что значит: ПРЕЗИДЕНТ ДОЛЖЕН НАКАЗАТЬ ????? К нему применяемы только КАРАНТИННЫЕ ПРАВИЛА и только. Штраф,который он с УЛЫБКОЙ уплатит и продолжит БЫДЛЯЧИТЬ. А вы и дальше выбирайте этих ЧМОШНИКОВ.",20.04.2021,Olex Morokhovets,"{""reading_me"": 0, ""i_am_reading"": 0}"
https://censor.net/ua/video_news/3260912/proyekt_bez_tsenzury_koli_mojna_vse_chomu_zelenskyyi_povynen_pokaraty_slugu_narodu_tyschenka_video,"ложили они на нас и тем более на наши, Ваши замечания. Зе сказал, что вокруг него друзья а кто с чем то не согласен, аферист, мошенник и вообще чмо.вот и вся суть нашего руководства",20.04.2021,Юрій Вінгорськи,"{""reading_me"": 0, ""i_am_reading"": 0}"
https://censor.net/ua/video_news/3260912/proyekt_bez_tsenzury_koli_mojna_vse_chomu_zelenskyyi_povynen_pokaraty_slugu_narodu_tyschenka_video,"Ви зробили це разом! Тупе, бідне бидло вибрало нахабне бидло при грошах. Огидно!",20.04.2021,Денис_Харьков,"{""reading_me"": 0, ""i_am_reading"": 0}"
https://censor.net/ua/video_news/3260912/proyekt_bez_tsenzury_koli_mojna_vse_chomu_zelenskyyi_povynen_pokaraty_slugu_narodu_tyschenka_video,"Дебільна назва відео. То що тепер нічого не святкувати, доки люди безсмертними не стануть?",21.04.2021,Сергій Пасічний,"{""reading_me"": 0, ""i_am_reading"": 0}"
https://censor.net/ua/video_news/3260912/proyekt_bez_tsenzury_koli_mojna_vse_chomu_zelenskyyi_povynen_pokaraty_slugu_narodu_tyschenka_video,"Если он бультерьер, то должен есть собачий корм. Из лотка.",21.04.2021,Colt,"{""reading_me"": ""1"", ""i_am_reading"": ""11""}"
https://censor.net/ua/video_news/3260912/proyekt_bez_tsenzury_koli_mojna_vse_chomu_zelenskyyi_povynen_pokaraty_slugu_narodu_tyschenka_video,старый козел коля с молодой губошлепкой,21.04.2021,корнель,"{""reading_me"": 0, ""i_am_reading"": 0}"
https://censor.net/ua/video_news/3260912/proyekt_bez_tsenzury_koli_mojna_vse_chomu_zelenskyyi_povynen_pokaraty_slugu_narodu_tyschenka_video,Деревенское быдло,21.04.2021,Анна Каренина eedc3286,"{""reading_me"": 0, ""i_am_reading"": 0}"
https://censor.net/ua/video_news/3260912/proyekt_bez_tsenzury_koli_mojna_vse_chomu_zelenskyyi_povynen_pokaraty_slugu_narodu_tyschenka_video,Одним словом - СКОТОБАЗА.,21.04.2021,Kessirman 54,"{""reading_me"": 0, ""i_am_reading"": 0}"
https://censor.net/ua/video_news/3260912/proyekt_bez_tsenzury_koli_mojna_vse_chomu_zelenskyyi_povynen_pokaraty_slugu_narodu_tyschenka_video,,21.04.2021,арлекино пианист,"{""reading_me"": 0, ""i_am_reading"": 0}"
https://censor.net/ua/video_news/3260912/proyekt_bez_tsenzury_koli_mojna_vse_chomu_zelenskyyi_povynen_pokaraty_slugu_narodu_tyschenka_video,"..ну хоть все увидели эту его надувную ляльку, как он утверждает с инструкцией к ней, которую он готов надувать со всех сторон",21.04.2021,Danilo Kosmina 10be22a1,"{""reading_me"": ""20"", ""i_am_reading"": 0}"
https://censor.net/ua/news/3260923/22_kvitnya_v_ukrayinu_mayut_prybuty_367_tys_doz_covidvaktsyny_astrazeneca_yih_vykorystayut_za_23_dni,колют по 1000 в день и тут 2-3 дня),20.04.2021,Nikos KGB,"{""reading_me"": 0, ""i_am_reading"": 0}"
https://censor.net/ua/news/3260923/22_kvitnya_v_ukrayinu_mayut_prybuty_367_tys_doz_covidvaktsyny_astrazeneca_yih_vykorystayut_za_23_dni,с языка сорвали. по 10-15 тысяч в день колят а тут 360 тысяч доз на 3 дня. пипец наверное перекинут по быстряку.,20.04.2021,Felix Trinidad,"{""reading_me"": 0, ""i_am_reading"": 0}"
https://censor.net/ua/news/3260923/22_kvitnya_v_ukrayinu_mayut_prybuty_367_tys_doz_covidvaktsyny_astrazeneca_yih_vykorystayut_za_23_dni,"вірю у два тижня, не вірю у три дня.",20.04.2021,Веретено,"{""reading_me"": 0, ""i_am_reading"": 0}"
https://censor.net/ua/news/3260923/22_kvitnya_v_ukrayinu_mayut_prybuty_367_tys_doz_covidvaktsyny_astrazeneca_yih_vykorystayut_za_23_dni,"Максимум кололи 20к (это окруление вверх). 360/20= 2,5 недели. И это в идеальном случае! Верить заявлениям *********, себя не уважать.",20.04.2021,Да-это-я,"{""reading_me"": 0, ""i_am_reading"": 0}"
https://censor.net/ua/news/3260923/22_kvitnya_v_ukrayinu_mayut_prybuty_367_tys_doz_covidvaktsyny_astrazeneca_yih_vykorystayut_za_23_dni,"нашо вірить зелебобам, коли є статистика.https://health-security.rnbo.gov.ua/vaccination",20.04.2021,Веретено,"{""reading_me"": 0, ""i_am_reading"": 0}"
https://censor.net/ua/news/3260923/22_kvitnya_v_ukrayinu_mayut_prybuty_367_tys_doz_covidvaktsyny_astrazeneca_yih_vykorystayut_za_23_dni,В офіційних заявах буда цифірь 19000 з копійками на добу. Я брав оптимістичну ноту),20.04.2021,Да-это-я,"{""reading_me"": 0, ""i_am_reading"": 0}"
https://censor.net/ua/news/3260923/22_kvitnya_v_ukrayinu_mayut_prybuty_367_tys_doz_covidvaktsyny_astrazeneca_yih_vykorystayut_za_23_dni,"В офіційних заявах вони як і зараз казали, що можуть вийти на 20 000 на добу, а не вийшли. 19 858 було лише один раз 9 квітня і 19 097 1 квітня.",20.04.2021,Веретено,"{""reading_me"": 0, ""i_am_reading"": 0}"
https://censor.net/ua/news/3260923/22_kvitnya_v_ukrayinu_mayut_prybuty_367_tys_doz_covidvaktsyny_astrazeneca_yih_vykorystayut_za_23_dni,"Ви доводите, що я не помилився в ідельних) розрахунках. Дакую, але для чого це мені?",20.04.2021,Да-это-я,"{""reading_me"": 0, ""i_am_reading"": 0}"
https://censor.net/ua/news/3260923/22_kvitnya_v_ukrayinu_mayut_prybuty_367_tys_doz_covidvaktsyny_astrazeneca_yih_vykorystayut_za_23_dni,це питання задай собі. ти ж все строчиш відповіді.,20.04.2021,Веретено,"{""reading_me"": 0, ""i_am_reading"": 0}"
https://censor.net/ua/news/3260923/22_kvitnya_v_ukrayinu_mayut_prybuty_367_tys_doz_covidvaktsyny_astrazeneca_yih_vykorystayut_za_23_dni,"??? А ви відповіді не строчите? Ви їх милостиво доводите до холпів, як божі одкровення? З інагурацією вас) В палаті поповнення.",20.04.2021,Да-это-я,"{""reading_me"": 0, ""i_am_reading"": 0}"
https://censor.net/ua/news/3260923/22_kvitnya_v_ukrayinu_mayut_prybuty_367_tys_doz_covidvaktsyny_astrazeneca_yih_vykorystayut_za_23_dni,"а, ти про ""вірить"" у майбутні обіцянки. так.",20.04.2021,Веретено,"{""reading_me"": 0, ""i_am_reading"": 0}"
https://censor.net/ua/news/3260923/22_kvitnya_v_ukrayinu_mayut_prybuty_367_tys_doz_covidvaktsyny_astrazeneca_yih_vykorystayut_za_23_dni,"колють по 10 000 і 15 000 в день, то у неділю 1000, українці у неділю відпочивають.",20.04.2021,Веретено,"{""reading_me"": 0, ""i_am_reading"": 0}"
https://censor.net/ua/news/3260923/22_kvitnya_v_ukrayinu_mayut_prybuty_367_tys_doz_covidvaktsyny_astrazeneca_yih_vykorystayut_za_23_dni,І по 3333 колять! І менше(,20.04.2021,Да-это-я,"{""reading_me"": 0, ""i_am_reading"": 0}"
https://censor.net/ua/news/3260923/22_kvitnya_v_ukrayinu_mayut_prybuty_367_tys_doz_covidvaktsyny_astrazeneca_yih_vykorystayut_za_23_dni,це такі низькі дані на вихідних. ну не коляться українці на вихідних. ну така в них національні вада. і так само і плр тестів меньше і захворівших меньше. у всіх вихідний і у віруса теж.,20.04.2021,Веретено,"{""reading_me"": 0, ""i_am_reading"": 0}"
https://censor.net/ua/news/3260923/22_kvitnya_v_ukrayinu_mayut_prybuty_367_tys_doz_covidvaktsyny_astrazeneca_yih_vykorystayut_za_23_dni,шо ви гаварітє...а коли ж тоді мені звичайній людині діждатися її? від дії нє ответа ні прівєта...самому дзвонити у центри вакцинації та питати,20.04.2021,Olexandr Chornogorodskij,"{""reading_me"": 0, ""i_am_reading"": 0}"
https://censor.net/ua/news/3260923/22_kvitnya_v_ukrayinu_mayut_prybuty_367_tys_doz_covidvaktsyny_astrazeneca_yih_vykorystayut_za_23_dni,"Ляшко, считать не умеешь? 15 тысяч в день прививают в Украине, 3 дня это 50 тысяч максимум а не 367 тысяч доз",20.04.2021,Ави,"{""reading_me"": 0, ""i_am_reading"": ""4""}"
https://censor.net/ua/news/3260923/22_kvitnya_v_ukrayinu_mayut_prybuty_367_tys_doz_covidvaktsyny_astrazeneca_yih_vykorystayut_za_23_dni,ну по четвергам було по 19 000. це зараз після появи інших видів вакцин показники упали.,20.04.2021,Веретено,"{""reading_me"": 0, ""i_am_reading"": 0}"
https://censor.net/ua/news/3260923/22_kvitnya_v_ukrayinu_mayut_prybuty_367_tys_doz_covidvaktsyny_astrazeneca_yih_vykorystayut_za_23_dni,"по идее возможно, но организовать надо постараться",20.04.2021,roman qwerty 384780dd,"{""reading_me"": 0, ""i_am_reading"": 0}"
https://censor.net/ua/news/3260923/22_kvitnya_v_ukrayinu_mayut_prybuty_367_tys_doz_covidvaktsyny_astrazeneca_yih_vykorystayut_za_23_dni,"вони показали що по четвергам можуть 20 000. якби могли більше, то залишки б не кисли вже другий тиждень, викололи б вже.",20.04.2021,Веретено,"{""reading_me"": 0, ""i_am_reading"": 0}"
https://censor.net/ua/news/3260923/22_kvitnya_v_ukrayinu_mayut_prybuty_367_tys_doz_covidvaktsyny_astrazeneca_yih_vykorystayut_za_23_dni,маловато будет,20.04.2021,John Anderson,"{""reading_me"": 0, ""i_am_reading"": 0}"
https://censor.net/ua/news/3260923/22_kvitnya_v_ukrayinu_mayut_prybuty_367_tys_doz_covidvaktsyny_astrazeneca_yih_vykorystayut_za_23_dni,Приурочили ко дню рождения дедушки Ленина?,20.04.2021,Віктор Кравчук 24d401f8,"{""reading_me"": 0, ""i_am_reading"": 0}"
https://censor.net/ua/news/3260923/22_kvitnya_v_ukrayinu_mayut_prybuty_367_tys_doz_covidvaktsyny_astrazeneca_yih_vykorystayut_za_23_dni,Підсвідомий суботнік до дня народження Вождя.,20.04.2021,Volodymyr Zaiets,"{""reading_me"": 0, ""i_am_reading"": 0}"
https://censor.net/ua/news/3260922/u_lvivskomu_ohmatdyti_likuyut_nemovlya_z_koronavirusom_stan_vajkyyi_dyrektorka_likarni_burda,"бедное дитя, мать скорее всего ковид-диссидентка.",20.04.2021,Психиатрическая больница No1,"{""reading_me"": 0, ""i_am_reading"": 0}"
https://censor.net/ua/news/3260922/u_lvivskomu_ohmatdyti_likuyut_nemovlya_z_koronavirusom_stan_vajkyyi_dyrektorka_likarni_burda,"Боже, поможи",20.04.2021,Чайка Київ,"{""reading_me"": 0, ""i_am_reading"": ""3""}"
https://censor.net/ua/news/3260922/u_lvivskomu_ohmatdyti_likuyut_nemovlya_z_koronavirusom_stan_vajkyyi_dyrektorka_likarni_burda,"Малий,тримайся!",20.04.2021,Vitaliy Venikov,"{""reading_me"": 0, ""i_am_reading"": 0}"
https://censor.net/ua/news/3260921/lyashko_rekomenduye_planuvaty_litniyi_vidpochynok_na_terytoriyi_ukrayiny_v_zelenyh_zonah_i_mistsyah,"это чтобы не засекли ляшко, степанова и прочих слуг урода с вислюком - на зарубежных укрортах... особенно в Омане и Катаре.. да и в Париже))",20.04.2021,Scorpman Y,"{""reading_me"": 0, ""i_am_reading"": ""1""}"
https://censor.net/ua/news/3260921/lyashko_rekomenduye_planuvaty_litniyi_vidpochynok_na_terytoriyi_ukrayiny_v_zelenyh_zonah_i_mistsyah,А чтобы исключить всякие инфекции вместо людей должны быть восковые куклы. Владимир Александрович поступает именно так. ,20.04.2021,Филипп Филиппович Преображенск,"{""reading_me"": 0, ""i_am_reading"": ""2""}"
https://censor.net/ua/news/3260921/lyashko_rekomenduye_planuvaty_litniyi_vidpochynok_na_terytoriyi_ukrayiny_v_zelenyh_zonah_i_mistsyah,Зеленский тоже будет у нас отдыхать?То ест ьОмана и Катара не будет?,20.04.2021,Alexey Chernyavsky,"{""reading_me"": 0, ""i_am_reading"": 0}"
https://censor.net/ua/news/3260921/lyashko_rekomenduye_planuvaty_litniyi_vidpochynok_na_terytoriyi_ukrayiny_v_zelenyh_zonah_i_mistsyah,"А він сам собі - ""зелена зона""... ""Дика і неорана""... Особливо, в голові...",20.04.2021,Яр Холодний,"{""reading_me"": 0, ""i_am_reading"": ""7""}"
https://censor.net/ua/news/3260921/lyashko_rekomenduye_planuvaty_litniyi_vidpochynok_na_terytoriyi_ukrayiny_v_zelenyh_zonah_i_mistsyah,О как...а ленка уже четвертый день по Парижу шарится....шопингует....а вовчик пакеты с покупками следом носит.. и в Украину не возвращаются....,20.04.2021,Привет,"{""reading_me"": 0, ""i_am_reading"": ""16""}"
